data,crc
"{'event_time': '2023-10-17T09:51:47.778Z', 'weight': 0.0}",1207173069
"{'event_time': '2023-10-17T09:51:48.786Z', 'weight': 0.0}",3641787122
"{'event_time': '2023-10-17T09:51:49.794Z', 'weight': 0.0}",1404147089
"{'event_time': '2023-10-17T09:51:50.752Z', 'weight': 0.0}",129265596
"{'event_time': '2023-10-17T09:51:51.766Z', 'weight': 0.0}",3657876800
"{'event_time': '2023-10-17T09:51:52.774Z', 'weight': 0.0}",3174089162
"{'event_time': '2023-10-17T09:51:53.782Z', 'weight': 0.0}",3338686508
"{'event_time': '2023-10-17T09:51:54.790Z', 'weight': 0.0}",2691364149
"{'event_time': '2023-10-17T09:51:55.773Z', 'weight': 0.0}",2176307759
"{'event_time': '2023-10-17T09:51:56.781Z', 'weight': 0.0}",4286160322
"{'event_time': '2023-10-17T09:51:57.789Z', 'weight': 0.0}",1839950483
"{'event_time': '2023-10-17T09:51:58.765Z', 'weight': 0.0}",3801803291
"{'event_time': '2023-10-17T09:51:59.773Z', 'weight': 0.0}",2169647258
"{'event_time': '2023-10-17T09:52:00.781Z', 'weight': 0.0}",147323192
"{'event_time': '2023-10-17T09:52:01.764Z', 'weight': 0.0}",3032929585
"{'event_time': '2023-10-17T09:52:02.772Z', 'weight': 0.0}",983096409
"{'event_time': '2023-10-17T09:52:03.780Z', 'weight': 0.0}",2847948893
"{'event_time': '2023-10-17T09:52:04.789Z', 'weight': 0.0}",20596014
"{'event_time': '2023-10-17T09:52:05.774Z', 'weight': 0.0}",3523039204
"{'event_time': '2023-10-17T09:52:06.782Z', 'weight': 0.0}",1180372459
"{'event_time': '2023-10-17T09:52:07.790Z', 'weight': 0.0}",3439057544
"{'event_time': '2023-10-17T09:52:08.754Z', 'weight': 0.0}",2158309641
"{'event_time': '2023-10-17T09:52:09.775Z', 'weight': 0.0}",117058825
"{'event_time': '2023-10-17T09:52:10.783Z', 'weight': 0.0}",4250311406
"{'event_time': '2023-10-17T09:52:11.790Z', 'weight': 0.0}",2685717973
"{'event_time': '2023-10-17T09:52:12.768Z', 'weight': 0.0}",2748291404
"{'event_time': '2023-10-17T09:52:13.776Z', 'weight': 0.0}",3383123528
"{'event_time': '2023-10-17T09:52:14.785Z', 'weight': 392.59}",2200765080
"{'event_time': '2023-10-17T09:52:15.794Z', 'weight': 411.08}",2582585218
"{'event_time': '2023-10-17T09:52:16.777Z', 'weight': 409.36}",3629802965
"{'event_time': '2023-10-17T09:52:17.785Z', 'weight': 407.64}",3973762882
"{'event_time': '2023-10-17T09:52:18.793Z', 'weight': 407.64}",2293377420
"{'event_time': '2023-10-17T09:52:19.777Z', 'weight': 405.06}",2449891351
"{'event_time': '2023-10-17T09:52:20.785Z', 'weight': 407.21}",4260611390
"{'event_time': '2023-10-17T09:52:21.793Z', 'weight': 141.9}",3329259926
"{'event_time': '2023-10-17T09:52:22.769Z', 'weight': 0.0}",741584956
"{'event_time': '2023-10-17T09:52:23.777Z', 'weight': 429.14}",3661459384
"{'event_time': '2023-10-17T09:52:24.785Z', 'weight': 432.15}",4281980259
